sitename,NO2,NO,CO,O31,O38,ssr,tp,u10,v10,d2m,t2m,sp,tcc,blh,wd,ws,NOx,FAC1_1,FAC2_1
PDHN,9.252173913,2.24,0.56,42.0,33.54166667,613237.0,0.0,-4.2579904,-1.6437817,273.47006,8.08483,102856.36,1.0000076,1024.2214,68.8910999,4.564263415,11.49217391,-0.26494,-0.41285
PDHN,9.252173913,2.24,0.56,42.46666667,35.23333333,792047.0,0.0,-3.9589462,-0.9407364,273.522,8.51797,102754.75,1.0000076,1019.9487,76.63311439,4.069181735,11.49217391,-0.26147,-0.21127
PDHN,10.22608696,1.493333333,0.56,40.6,36.63333333,662040.0,0.0,-3.6261752,-0.9592891,273.57242,8.68087,102678.836,1.0000076,935.24915,75.18209653,3.750917509,11.71942029,-0.2968,-0.12932
PDHN,10.22608696,2.24,0.56,40.13333333,38.90833333,470028.0,5.22e-05,-3.5066323,-1.4621617,273.80466,8.60433,102639.72,1.0000076,810.78845,67.36531077,3.799261366,12.46608696,-0.31983,-0.15338
PDHN,10.71304348,1.493333333,0.56,38.73333333,39.78333333,214013.0,0.000178732,-3.8161695,-2.8648345,275.5089,8.1725,102533.93,1.0000076,742.7271,53.10409624,4.771836792,12.20637681,-0.30675,-0.55028
PDHN,11.68695652,2.24,0.56,35.46666667,39.49166667,136408.0,0.000295207,-4.3348126,-2.4908535,276.06656,7.83557,102542.7,1.0000076,753.48425,60.1176275,4.999495118,13.92695652,-0.46304,-0.62464
PDHN,14.12173913,2.24,0.56,32.2,38.96666667,59604.0,0.000439793,-4.474966,-2.3541503,276.73038,7.45217,102582.71,0.9988479,772.73645,62.2524389,5.056416155,16.36173913,-0.64153,-0.63621
PDHN,6.817391304,2.24,0.48,37.8,37.85833333,212012.0,0.00082738,-5.8446493,-3.6455076,278.4117,7.91802,102543.59,1.0000076,883.07214,58.04679966,6.888370715,9.057391304,-0.18834,-1.34477
PDHN,6.330434783,2.24,0.48,38.73333333,37.85833333,333620.0,0.000437789,-5.209461,-4.063429,278.799,8.2353,102500.49,1.0000076,885.63574,52.04543119,6.606810058,8.570434783,-0.12705,-1.25526
PDHN,6.817391304,2.24,0.48,37.8,37.625,338421.0,0.000389591,-4.5210595,-4.884625,278.9709,8.32498,102404.02,1.0000076,860.7034,42.7864021,6.65578999,9.057391304,-0.13637,-1.29294
PDHN,7.791304348,2.24,0.4,35.0,37.15833333,311618.0,0.000483975,-3.9611948,-5.501254,279.04803,8.31515,102351.89,1.0000076,843.05975,35.75588955,6.779001388,10.03130435,-0.20704,-1.36976
