sitename,NO2,NO,CO,O31,O38,ssr,tp,u10,v10,d2m,t2m,sp,tcc,blh,wd,ws,NOx,FAC1_1,FAC2_1
PT,27.75652174,5.226666667,0.72,28.46666667,21.35,638038.0,0.0,-3.1004117,-1.356705,273.50293,7.3344,102830.39,0.99962616,883.62506,66.36635869,3.384257846,32.98318841,-1.16338,-0.40188
PT,24.34782609,5.226666667,0.72,32.66666667,22.69166667,802448.0,0.0,-3.395334,-0.46764562,273.35394,8.13326,102729.81,1.0000076,1046.2383,82.15788658,3.427387547,29.57449275,-0.96034,-0.39125
PT,22.88695652,2.986666667,0.64,35.0,24.90833333,719643.0,2.01e-06,-3.3391225,-0.48375708,273.43417,8.44012,102645.81,1.0000076,1060.6648,81.75659869,3.373982807,25.87362319,-0.79138,-0.41988
PT,25.80869565,2.986666667,0.64,31.73333333,27.41666667,419625.0,5.62e-05,-3.262675,-0.8352797,273.4861,8.25625,102609.71,1.0000076,799.37787,75.64008827,3.367898504,28.79536232,-0.94189,-0.40598
PT,25.80869565,2.24,0.64,30.33333333,29.05,200412.0,0.00027512,-2.898051,-1.6891867,276.0719,7.52612,102486.93,1.0000076,699.84955,59.76337818,3.354407743,28.04869565,-0.96017,-0.495
PT,28.73043478,2.24,0.64,27.06666667,30.04166667,135608.0,0.000415698,-3.0157201,-1.6530579,277.0512,6.90978,102501.73,1.0000076,667.3269,61.27078218,3.43906501,30.97043478,-1.13329,-0.51769
PT,34.08695652,2.24,0.72,20.06666667,29.575,52804.0,0.000670739,-2.9681277,-1.6696577,277.2017,6.4832,102552.7,0.9937054,673.0573,60.6409873,3.405515949,36.32695652,-1.44222,-0.47192
PT,23.37391304,2.986666667,0.56,28.0,28.29166667,204412.0,0.00076513,-3.8281612,-2.478648,278.13824,6.9942,102530.57,1.0000076,800.4837,57.07785398,4.560538793,26.36057971,-0.89283,-1.1358
PT,21.91304348,2.986666667,0.56,28.93333333,28.0,293618.0,0.000463888,-3.326756,-2.8189414,278.61185,7.4679,102499.54,1.0000076,814.659,49.72357873,4.360474298,24.89971014,-0.81294,-1.07165
PT,20.93913043,2.986666667,0.56,30.33333333,28.23333333,259215.0,0.000469923,-2.7946222,-3.3764951,278.82498,7.55358,102410.055,1.0000076,784.901,39.61352245,4.382993543,23.9257971,-0.74291,-1.10987
