sitename,NO2,NO,CO,O31,O38,ssr,tp,u10,v10,d2m,t2m,sp,tcc,blh,wd,ws,NOx,FAC1_1,FAC2_1
DSL,37.00869565,11.94666667,0.64,11.2,16.45,652839.0,0.0,-2.256867,-1.4231036,273.77258,6.27386,102895.34,0.99689466,567.09485,57.76586287,2.668084053,48.95536232,-2.13249,0.14666
DSL,21.66956522,3.733333333,0.88,31.96666667,17.64583333,822449.0,1.41e-05,-2.8943036,-1.0403345,274.1507,7.3658,102778.805,1.0000076,750.41797,70.2294277,3.075595747,25.40289855,-1.01958,-0.42956
DSL,24.83478261,2.986666667,0.56,28.0,18.1125,690441.0,8.43e-05,-3.3301287,-0.72494066,274.18585,7.97756,102679.87,1.0000076,828.0802,77.71880438,3.408122081,27.82144928,-1.12306,-0.54131
DSL,24.83478261,2.24,0.56,27.53333333,18.69583333,359222.0,0.000253037,-2.6533444,-0.9446423,274.8634,7.7623,102640.74,1.0000076,735.28766,70.4032798,2.816484614,27.07478261,-1.1341,-0.28235
DSL,30.19130435,2.986666667,0.56,21.0,19.27916667,196812.0,0.000582375,-2.6376052,-1.1453031,277.4095,6.9752,102514.95,1.0000076,690.6004,66.52851053,2.875531322,33.17797101,-1.45962,-0.2434
DSL,27.75652174,2.24,0.56,23.33333333,20.67916667,124807.0,0.000737011,-2.7519014,-1.2117019,277.51947,6.55453,102531.67,1.0000076,672.1525,66.23541377,3.006855968,29.99652174,-1.34023,-0.38432
DSL,23.86086957,1.493333333,0.48,26.6,22.60416667,39602.0,0.001070373,-2.7931232,-1.1824082,277.2269,6.14364,102588.74,0.9777591,673.2081,67.05568265,3.033088585,25.3542029,-1.16499,-0.49659
DSL,15.5826087,2.24,0.4,31.73333333,29.80833333,176811.0,0.000704877,-3.3957086,-2.3976023,277.8128,6.30917,102577.58,1.0000076,714.82904,54.77529566,4.156841792,17.8226087,-0.80078,-1.26504
DSL,15.5826087,2.986666667,0.4,32.2,29.80833333,224413.0,0.000500038,-2.9164133,-2.64318,278.1902,6.69976,102554.555,1.0000076,715.28143,47.81361029,3.935970916,18.56927536,-0.80046,-1.13662
DSL,17.53043478,2.24,0.48,28.93333333,29.45833333,202012.0,0.000518121,-2.3913994,-3.0274136,278.42624,6.8797,102469.05,1.0000076,704.92645,38.30573661,3.857981881,19.77043478,-0.88001,-1.11826
DSL,18.50434783,2.24,0.48,28.0,29.28333333,179611.0,0.000566311,-1.9151021,-3.2412567,278.53088,6.90457,102422.87,1.0000076,704.7757,30.57679047,3.764752455,20.74434783,-0.92246,-1.07438
DSL,17.04347826,1.493333333,0.4,28.93333333,29.10833333,153209.0,0.000620533,-1.5073825,-3.4467998,278.4919,6.82867,102409.85,1.0000076,710.5061,23.62111168,3.761998254,18.53681159,-0.84026,-1.14405
DSL,16.06956522,1.493333333,0.32,29.4,29.10833333,97206.0,0.000586398,-0.88943255,-3.6957948,278.2559,6.47537,102396.08,1.0000076,713.5724,13.53152132,3.801314176,17.56289855,-0.8128,-1.22301
DSL,17.53043478,1.493333333,0.4,27.06666667,29.45833333,64004.0,0.000612501,-0.84483826,-3.7441292,278.01297,6.24636,102441.71,1.0000076,715.2312,12.7154696,3.838261996,19.02376812,-0.90481,-1.23348
DSL,18.0173913,1.493333333,0.4,24.73333333,28.875,25601.0,0.000431761,-1.0434517,-3.492693,277.72726,6.0213,102477.336,1.0000076,707.7414,16.63366106,3.645229189,19.51072464,-0.9777,-1.13576
DSL,15.5826087,2.986666667,0.72,28.93333333,28.64166667,880053.0,0.0,0.7639301,-3.5732503,275.88397,5.8067,102814.7,0.9676115,590.8208,347.9323257,3.653998755,18.56927536,-1.07561,-0.17724
DSL,16.55652174,2.986666667,0.8,28.46666667,28.64166667,1243674.0,0.0,1.1300533,-3.4287353,275.58682,6.90914,102816.414,0.87712204,767.6595,341.7586522,3.610158753,19.54318841,-1.05887,-0.12542
DSL,17.53043478,2.986666667,0.88,28.93333333,28.35,1445287.0,0.0,1.8941526,-3.3633132,274.87717,7.80416,102718.58,0.89824134,921.62683,330.6126343,3.860011626,20.51710145,-1.02368,-0.2373
DSL,18.50434783,3.733333333,0.88,28.93333333,28.23333333,1244874.5,0.0,2.214932,-3.3310902,274.0323,8.14504,102609.77,0.9272956,1094.3939,326.3789918,4.000260702,22.23768116,-1.0523,-0.26956
